,Key,Average Time (s),Distance,Modifier
0,',0.7084560394287109,1,0.49106430628067643
1,",",0.7525399208068848,1,1.3483705290778665
2,.,0.824320912361145,1,1.4769848004057913
3,/,0.7999753952026367,1,1.43336348950378
4,;,0.8547353982925415,0,0.0
5,[,0.8828406810760498,1,1.2238770579429716
6,],0.8757675886154175,2,1.569164869744694
7,a,0.6988575696945191,0,0.0
8,b,0.6993105173110962,2,1.536542255825646
9,c,0.7255648136138916,1,1.300037625331379
10,d,0.6334391593933105,0,0.0
11,e,0.7967560768127442,1,1.1045384564735137
12,f,0.5798192501068116,0,0.0
13,g,0.643354845046997,1,0.44593959694390645
14,h,0.5757007598876953,1,0.39904535856237405
15,i,0.6864843368530273,1,0.9516693651764793
16,j,0.6290627241134643,0,0.0
17,k,0.5805208921432495,0,0.0
18,l,0.6648141145706177,0,0.0
19,m,0.6349890232086182,1,1.1377475951899148
20,n,0.733001708984375,1,1.313362753033101
21,o,0.6838226318359375,1,0.9479794585203232
22,p,0.7846120119094848,1,1.0877032077770512
23,q,0.7098757266998291,2,1.2719265552895656
24,r,0.7059592723846435,1,0.9786673584871322
25,s,0.6620142459869385,0,0.0
26,t,0.8268089532852173,1,1.1462005896627359
27,u,0.6186618804931641,1,0.8576474763675009
28,v,0.70785973072052,1,1.2683143754037127
29,w,0.747514009475708,1,1.0362744561942945
30,x,0.8512019157409668,1,1.5251490927539382
31,y,0.625774598121643,1,0.8675077967080994
32,z,0.7759194850921631,1,1.39026108477244
