key,time,distance,iteration
w,0.8075332641601562,1,0
;,0.824345588684082,0,0
.,0.8135592937469482,1,0
/,0.8186516761779785,1,0
p,0.6312203407287598,1,0
',0.7942190170288086,1,0
e,1.4303288459777832,1,0
d,0.6098039150238037,0,0
[,1.0199265480041504,1,0
],1.1280450820922852,2,0
z,0.7066714763641357,1,0
x,0.61283278465271,1,0
m,0.607175350189209,1,0
h,0.04073643684387207,1,0
l,0.7705492973327637,0,0
k,0.6089801788330078,0,0
v,0.19929194450378418,1,0
",",0.8191335201263428,1,0
f,0.6086626052856445,0,0
i,0.6088190078735352,1,0
t,0.8190269470214844,1,0
y,1.014514684677124,1,0
s,0.6120214462280273,0,0
u,0.6163637638092041,1,0
q,0.809809684753418,2,0
r,0.616450309753418,1,0
o,1.013801097869873,1,0
g,1.0216550827026367,1,0
b,0.8124783039093018,2,0
n,0.6128852367401123,1,0
j,0.6085705757141113,0,0
a,0.611945390701294,0,0
c,1.0187718868255615,1,0
w,0.6113970279693604,1,1
m,0.6095292568206787,1,1
x,0.695432186126709,1,1
b,0.7304885387420654,2,1
f,0.6082956790924072,0,1
;,0.8191587924957275,0,1
a,0.6089613437652588,0,1
",",0.10365700721740723,1,1
r,0.7069306373596191,1,1
i,0.7198987007141113,1,1
v,0.6254398822784424,1,1
t,0.627838134765625,1,1
q,0.5900850296020508,2,1
/,0.6777353286743164,1,1
],0.6680765151977539,2,1
y,0.5993220806121826,1,1
c,0.6006922721862793,1,1
k,0.47682833671569824,0,1
u,0.5701546669006348,1,1
n,0.8339438438415527,1,1
.,0.9792263507843018,1,1
',0.6154477596282959,1,1
e,0.6106555461883545,1,1
l,0.6092333793640137,0,1
[,1.0241315364837646,1,1
d,0.8126468658447266,0,1
h,0.6099996566772461,1,1
j,0.6155836582183838,0,1
g,0.8125975131988525,1,1
z,0.7819075584411621,1,1
p,0.8475148677825928,1,1
s,0.6112313270568848,0,1
o,0.5532565116882324,1,1
m,0.7592988014221191,1,2
q,0.721959114074707,2,2
b,0.6115837097167969,2,2
',0.23616647720336914,1,2
j,0.5789003372192383,0,2
[,0.741041898727417,1,2
e,0.8595898151397705,1,2
r,0.8471701145172119,1,2
z,0.8138971328735352,1,2
h,0.6095387935638428,1,2
d,0.6109201908111572,0,2
a,0.60933518409729,0,2
.,1.0208616256713867,1,2
n,0.7597291469573975,1,2
x,0.6660501956939697,1,2
/,0.8332362174987793,1,2
v,0.7972948551177979,1,2
u,0.8135850429534912,1,2
p,1.1710262298583984,1,2
f,0.6675944328308105,0,2
w,0.6084513664245605,1,2
;,1.0182816982269287,0,2
y,0.7118475437164307,1,2
",",0.9191067218780518,1,2
l,0.7507967948913574,0,2
o,0.6756126880645752,1,2
i,0.6109850406646729,1,2
],0.8198494911193848,2,2
s,0.5711069107055664,0,2
g,0.7061491012573242,1,2
c,0.757436990737915,1,2
k,0.6106371879577637,0,2
t,1.0196738243103027,1,2
.,0.8147406578063965,1,3
k,0.546290397644043,0,3
v,0.6764576435089111,1,3
f,0.6095266342163086,0,3
l,0.6121816635131836,0,3
m,0.5275783538818359,1,3
d,0.6931312084197998,0,3
u,0.599794864654541,1,3
o,0.6183483600616455,1,3
e,0.6130638122558594,1,3
c,0.8135831356048584,1,3
y,0.2036139965057373,1,3
;,1.0225942134857178,0,3
j,0.8130226135253906,0,3
h,0.6112534999847412,1,3
",",1.0190706253051758,1,3
z,0.8152496814727783,1,3
q,0.711090087890625,2,3
t,0.9247925281524658,1,3
],1.2216651439666748,2,3
x,0.8170058727264404,1,3
p,0.6046240329742432,1,3
/,0.8189308643341064,1,3
s,0.6103043556213379,0,3
a,0.8168737888336182,0,3
i,0.8144738674163818,1,3
[,0.8148982524871826,1,3
n,0.8147058486938477,1,3
g,0.05661129951477051,1,3
b,0.7347757816314697,2,3
',1.0218641757965088,1,3
w,0.7036099433898926,1,3
r,0.9263706207275391,1,3
],0.8150756359100342,2,4
b,0.6305170059204102,2,4
;,0.9987316131591797,0,4
f,0.5449991226196289,0,4
/,0.682093620300293,1,4
i,0.6057345867156982,1,4
k,0.6148173809051514,0,4
',0.815605878829956,1,4
j,0.6697604656219482,0,4
p,0.7498772144317627,1,4
t,1.0206687450408936,1,4
e,0.6115145683288574,1,4
n,0.611483097076416,1,4
d,0.6107056140899658,0,4
.,0.6769266128540039,1,4
q,0.6783037185668945,2,4
a,0.6806793212890625,0,4
z,0.611318826675415,1,4
m,0.6132833957672119,1,4
",",0.81313157081604,1,4
u,0.5640904903411865,1,4
l,0.6606438159942627,0,4
y,0.6127386093139648,1,4
v,0.806739091873169,1,4
c,0.610248327255249,1,4
h,0.6122879981994629,1,4
s,0.5808913707733154,0,4
o,0.8453211784362793,1,4
r,0.8141295909881592,1,4
g,0.8159222602844238,1,4
w,0.6340126991271973,1,4
x,0.7736709117889404,1,4
[,0.7818899154663086,1,4
",",0.6766400337219238,1,5
s,0.8001325130462646,0,5
n,1.0204975605010986,1,5
t,0.595221996307373,1,5
o,0.6245791912078857,1,5
q,0.61124587059021,2,5
v,0.8148863315582275,1,5
a,0.6137876510620117,0,5
e,0.8129584789276123,1,5
',0.8159909248352051,1,5
x,0.6083517074584961,1,5
z,0.8164036273956299,1,5
i,1.0190792083740234,1,5
/,0.8163869380950928,1,5
c,0.5803782939910889,1,5
m,0.6401402950286865,1,5
h,0.6107134819030762,1,5
u,0.08699512481689453,1,5
.,0.979956865310669,1,5
w,0.8533704280853271,1,5
;,0.5912811756134033,0,5
b,0.8179502487182617,2,5
r,0.8111147880554199,1,5
p,0.6107521057128906,1,5
j,0.6096138954162598,0,5
],0.8145692348480225,2,5
l,0.8164064884185791,0,5
d,0.6104087829589844,0,5
f,0.6126317977905273,0,5
[,0.8136210441589355,1,5
k,0.30783748626708984,0,5
y,0.7105593681335449,1,5
g,0.815737247467041,1,5
c,0.8172199726104736,1,6
f,0.5207996368408203,0,6
[,0.9391989707946777,1,6
p,0.7785224914550781,1,6
/,0.5907688140869141,1,6
h,0.637033224105835,1,6
a,1.0149037837982178,0,6
d,0.6099023818969727,0,6
',0.8172240257263184,1,6
q,0.6086831092834473,2,6
],0.873199462890625,2,6
m,0.7567744255065918,1,6
s,0.6105978488922119,0,6
v,0.596534013748169,1,6
g,0.6246302127838135,1,6
r,0.6302545070648193,1,6
o,0.5907001495361328,1,6
k,0.6115071773529053,0,6
z,0.6878409385681152,1,6
",",0.7193045616149902,1,6
;,1.0365369319915771,0,6
.,0.8179283142089844,1,6
j,0.6072111129760742,0,6
y,0.7335948944091797,1,6
l,0.5531027317047119,0,6
x,0.6876211166381836,1,6
e,1.083587408065796,1,6
b,0.6108343601226807,2,6
w,1.0188443660736084,1,6
t,0.8152313232421875,1,6
n,0.6117548942565918,1,6
u,0.6104695796966553,1,6
i,0.6240191459655762,1,6
l,0.5964565277099609,0,7
z,0.8007841110229492,1,7
f,0.5133838653564453,0,7
v,1.1333565711975098,1,7
r,0.4093611240386963,1,7
e,0.5154035091400146,1,7
o,0.7031300067901611,1,7
a,1.020029067993164,0,7
y,0.8161675930023193,1,7
g,0.6291494369506836,1,7
s,1.0027053356170654,0,7
],1.0189604759216309,2,7
d,0.48597049713134766,0,7
q,0.9384384155273438,2,7
h,0.8216986656188965,1,7
;,0.6047821044921875,0,7
.,0.6750268936157227,1,7
u,0.7503905296325684,1,7
t,0.6105222702026367,1,7
/,1.0207114219665527,1,7
w,0.8158473968505859,1,7
',0.6162161827087402,1,7
",",0.8206264972686768,1,7
k,0.6043641567230225,0,7
x,0.8127584457397461,1,7
p,0.6146249771118164,1,7
b,0.813739538192749,2,7
n,0.6160435676574707,1,7
j,0.6041550636291504,0,7
c,0.8167002201080322,1,7
i,0.6083776950836182,1,7
m,0.6092391014099121,1,7
[,0.8152742385864258,1,7
x,0.8156671524047852,1,8
m,0.6162638664245605,1,8
t,0.8118395805358887,1,8
b,0.6240143775939941,2,8
u,0.5966060161590576,1,8
a,0.6078031063079834,0,8
